Hour,A,B,C,D,E,F,G,H,I,J,K,L,M,N
0,218.5430534813131,362.49935075724454,158.38645821354316,275.3998401336555,15.49173832917603,1.281702147368255,78.78051004299574,0.504827395406418,600,3500,81.77119776693543,28.015245237218306,52.256617061897394,0
1,207.4242523008439,353.07080454510896,164.31291072694154,272.5047123637915,15.442471030579945,3.017806354675379,62.0486038672666,1.429384006189761,600,3500,60.21155938469634,16.756839831250375,32.7912183295375,0
2,210.61327414773774,341.18299346861846,41.07988328853506,271.9479937804874,21.472204382990824,2.3312506579137136,71.12402818171805,1.0332395156620362,600,3500,66.67298504605215,19.85038168175805,29.248714745640708,1
3,213.4036870697391,339.461946846615,139.74958637880184,275.83052175297104,24.772863808093316,3.604426763132516,36.62623363709242,1.6912959969156263,600,3500,73.63260945035037,28.206170825668057,43.11569854919189,0
4,223.50883991780438,347.03675603132183,164.45900727195672,269.6491846147833,30.408148356155863,1.5314493683421577,73.10072411363113,0.6394859597346982,600,3500,79.82821805283746,27.650480733700373,45.987539119576816,0
5,217.70005857756922,360.02308394387364,80.3164460540716,268.9354152100339,28.665907532130106,3.0778778566784935,76.13785952566971,1.3823034004225858,600,3500,72.1568075531065,20.943562415318453,32.7072692969958,1
6,212.44836050578775,342.018637838037,88.08053697532048,269.17528428625116,23.918054127534965,3.5143458689443308,54.353095940946794,1.2214593348291856,600,3500,68.18956478538303,16.664651217773493,32.804484240233,1
7,206.73455884824634,337.0011193004228,119.41240730034056,263.53952345857493,20.472533325633318,3.8338426584220695,60.31264688754887,1.463488288857841,600,3500,76.38029892901204,15.57899099792749,38.55103664753929,0
8,197.4937304707753,329.8769396330084,15.820647355540647,257.7130022589918,34.94249000315422,3.049744084868937,68.24049004514977,0.5972803917244525,600,3500,65.43704685860281,20.52462765235137,24.42913694021544,1
9,171.36824034383926,320.07700114440274,103.4029580191217,258.5029684800905,23.523626044719457,2.491524292025282,38.741931363020626,1.369975681142197,600,3500,58.25252329344936,23.042963870381648,31.955256788742183,1
10,180.87193716780828,346.55881474861917,71.31992202899795,257.46020731219284,24.02774048659351,2.8535417206036415,55.12830382317212,1.3422268819392855,600,3500,54.41182292547977,16.117169897920864,31.554124526508556,1
